Dataset,Method,Matcher,Threshold,Before R@1 (%),After R@1 (%),Improvement (pp),Queries
SF-XS,CosPlace,LoFTR,50,42.3,65.3,23.0,1000
SF-XS,CosPlace,SP-LightGlue,26,42.3,66.8,24.5,1000
SF-XS,CosPlace,SuperGlue,11,42.3,64.9,22.6,1000
SF-XS,MegaLoc,LoFTR,21,85.6,85.1,-0.5,1000
SF-XS,MegaLoc,SP-LightGlue,12,85.6,86.5,0.9,1000
SF-XS,MegaLoc,SuperGlue,8,85.6,85.9,0.3,1000
SF-XS,NetVLAD,LoFTR,60,27.2,53.0,25.8,1000
SF-XS,NetVLAD,SP-LightGlue,22,27.2,52.7,25.5,1000
SF-XS,NetVLAD,SuperGlue,11,27.2,51.8,24.6,1000
TOKYO-XS,MixVPR,LoFTR,24,77.78,86.67,8.89,315
TOKYO-XS,MixVPR,SP-LightGlue,11,77.78,88.25,10.48,315
TOKYO-XS,MixVPR,SuperGlue,8,77.78,87.3,9.52,315
TOKYO-XS,NetVLAD,LoFTR,27,49.84,65.08,15.24,315
TOKYO-XS,NetVLAD,SP-LightGlue,23,49.84,67.62,17.78,315
TOKYO-XS,NetVLAD,SuperGlue,9,49.84,69.21,19.37,315
TOKYO-XS,MegaLoc,LoFTR,11,94.92,94.92,0.0,315
TOKYO-XS,MegaLoc,SuperGlue,0,94.92,94.92,0.0,315
TOKYO-XS,MegaLoc,SP-LightGlue,8,94.92,94.92,0.0,315
